Product ID,Variant ID,Handle,Title,Original Price,Discounted Price,Discount %,Category
7332288659657,40421382258889,vinyl-carson-ken-a-great-chaos-vinyl-lp,A Great Chaos (Vinyl),66.99,66.99,0,MUSIC
7204352393290,40365350518858,alogic-ultra-mini-usb-c-sd-card-reader,ALOGIC Ultra Mini USB-C SD Card Reader,32.99,32.99,0,IT
7204406689866,40365401997386,alogic-elements-displayport-cable-with-4k-support-2m,ALOGIC Elements DisplayPort Cable with 4K Support (2m),19.99,19.99,0,IT
7333505597641,40424800485577,xbox-series-x-fatal-fury-city-of-the-wolves-special-edition,FATAL FURY: City of the Wolves Special Edition,99.0,99.0,0,GAMES SOFTWARE
7333505564873,40424800452809,playstation-5-fatal-fury-city-of-the-wolves-special-edition,FATAL FURY: City of the Wolves Special Edition,99.0,99.0,0,GAMES SOFTWARE
7333408506057,40424702083273,terrifier-2-2022-4k-ultra-hd,Terrifier 2,42.98,42.98,0,MOVIES
7333502746825,40424797634761,eureka-the-complete-series-2024-dvd,Eureka - The Complete Series,134.98,134.98,0,MOVIES
7333501796553,40424796684489,man-from-snowy-river-the-complete-series-1994-dvd,"Man From Snowy River, The - Complete Series",104.98,104.98,0,MOVIES
7333463064777,40424758018249,vanguard-vesta-aspire-12-shoulder-bag-grey-compact,Vanguard Vesta Aspire 12 Shoulder Bag (Grey) [Compact],42.0,42.0,0,CAMERAS
7328534298698,40417900265546,bonelk-long-life-usb-c-to-gigabit-adapter-15cm,Bonelk Long-Life USB-C to Gigabit Adapter (15cm),59.99,59.99,0,IT
7333500321993,40424795144393,nintendo-switch-octopath-traveler-code-in-box,Octopath Traveler (Code In Box),49.0,49.0,0,GAMES SOFTWARE
7333500289225,40424795111625,nintendo-switch-chrono-cross-the-radical-dreamers-edition-code-in-box,Chrono Cross: The Radical Dreamers Edition (Code In Box),49.0,49.0,0,GAMES SOFTWARE
7333500256457,40424795078857,nintendo-switch-final-fantasy-viii-remastered-code-in-box,Final Fantasy VIII Remastered (Code in Box),49.0,49.0,0,GAMES SOFTWARE
7333499338953,40424794161353,xbox-series-x-doom-the-dark-ages-premium-edition,Doom: The Dark Ages Premium Edition,99.0,99.0,0,GAMES SOFTWARE
7333499273417,40424794095817,playstation-5-doom-the-dark-ages-premium-edition,Doom: The Dark Ages Premium Edition,99.0,99.0,0,GAMES SOFTWARE
7333499109577,40424793931977,playstation-5-doom-the-dark-ages,Doom: The Dark Ages,99.0,99.0,0,GAMES SOFTWARE
7333499175113,40424793997513,xbox-series-x-doom-the-dark-ages,Doom: The Dark Ages,99.0,99.0,0,GAMES SOFTWARE
7333493440713,40424788263113,cd-djo-joe-keery-the-crux-cd,The Crux,30.99,30.99,0,MUSIC
7333498978505,40424793800905,gopro-protective-housing-hero-9-10-11-12-13,GoPro Protective Housing (Hero 9/10/11/12/13),109.0,109.0,0,CAMERAS
7333498847433,40424793669833,otterbox-defender-xt-magnets-case-for-samsung-galaxy-s25-ultra-dark-side,OtterBox Defender XT Magnets Case for Samsung Galaxy S25 Ultra (Dark Side),129.99,129.99,0,ACCESSORIES
